Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:km,Short name:km,Description:en,Description:km,Data class,Data type,Answers,Units,Members,Allow decimals,_version:1,_order:1850
5c0a329a-48f4-4e8d-9b4e-5df7301a8324,,,Is patient currently using family planning,Is patient currently using family planning,តើបច្ចុប្បន្ននេះ អ្នកជំងឺកំពុងប្រើប្រាស់មធ្យោបាយពន្យារកំណើតដែរឬទេ?,តើបច្ចុប្បន្ននេះ អ្នកជំងឺកំពុងប្រើប្រាស់មធ្យោបាយពន្យារកំណើតដែរឬទេ?,,,Misc,Coded,Yes;No,,,,,
abcf6140-5cc9-42a7-86c3-60528cfc9d4e,,,Have you ever had blood during/after sexual intercourse?,Have you ever had blood during/after sexual intercourse?,ការហូរឈាមក្រោយការរួមភេទ,ការហូរឈាមក្រោយការរួមភេទ,,,Misc,Coded,Yes;No,,,,,
76464977-5175-4593-9a59-82cd445c76b0,,,Does patient use corticosteroids?,Does patient use corticosteroids?,តើអ្នកជំងឺប្រើពពួកថ្នាំគ័រទីកូអ៊ីដ (corticosteroids) ដែរឬទេ?,តើអ្នកជំងឺប្រើពពួកថ្នាំគ័រទីកូអ៊ីដ (corticosteroids) ដែរឬទេ?,,,Misc,Coded,Yes;No,,,,,
e5c015db-9c06-45da-aaba-bf3fee26a4c7,,,Corticosteroids use duration (Year(s)),Corticosteroids use duration (Year(s)),រយៈពេលនៃការប្រើថ្នាំពពួកគ័រទីកូអ៊ីដ (គិតជាឆ្នាំ),រយៈពេលនៃការប្រើថ្នាំពពួកគ័រទីកូអ៊ីដ (គិតជាឆ្នាំ),,,Misc,Numeric,,Year(s),,Yes,,
9e34db11-fd5c-4ccc-8595-ace8d7d98373,,,Has patient used combined oral contraceptives for more than 5 years?,Has patient used combined oral contraceptives for more than 5 years?,តើអ្នកជំងឺបានប្រើថ្នាំគ្រាប់ពន្យារកំណើត អស់រយៈពេលចាប់ពី៥ឆ្នាំឡើងដែរឬទេ?,តើអ្នកជំងឺបានប្រើថ្នាំគ្រាប់ពន្យារកំណើត អស់រយៈពេលចាប់ពី៥ឆ្នាំឡើងដែរឬទេ?,,,Misc,Coded,Yes;No,,,,,
c2e13ca7-9c7c-49cd-bada-2c8bb34f3e6c,TRUE,,How many sex partners do you have?,How many sex partners do you have?,តើអ្នកមានដៃគូរួមភេទប៉ុន្មាននាក់?,តើអ្នកមានដៃគូរួមភេទប៉ុន្មាននាក់?,,,Misc,Numeric,,,,,,
bd4a43d6-455e-40b8-abbd-fd4311167556,TRUE,,How many sex partners does your partner have?,How many sex partners does your partner have?,តើដៃគូរួមភេទរបស់អ្នក មានដៃគូប៉ុន្មានអ្នកទៀតដែរ?,តើដៃគូរួមភេទរបស់អ្នក មានដៃគូប៉ុន្មានអ្នកទៀតដែរ?,,,Misc,Numeric,,,,,,
a47c165a-2c06-4b6d-b127-d1edba82604a,,,History of STI(s),History of STI(s),ប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,ប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,,,Misc,Coded,Yes;No,,,,,
aab5fe68-16dc-484f-b3a5-88deba3d2c72,,,Sexually transmitted infection(s),Sexually transmitted infection(s),ជំងឺឆ្លងតាមផ្លូវភេទ,ជំងឺកាមរោគ,,,Misc,Coded,Syphilis (A53.9);Gonorrhea (A54.9);Candidiasis (B37.9);Trichomoniasis (A59.9);Human papillomavirus (B97.7);Other;Unknown,,,,,
529c57b6-a232-46a0-a6eb-2e1aaa9e3758,,,Other sexually transmitted infection(s),Other sexually transmitted infection(s),ជំងឺឆ្លងផ្សេងទៀតដោយការរួមភេទ,ជំងឺឆ្លងផ្សេងទៀតដោយការរួមភេទ,,,Misc,Text,,,,,,
1260b402-07f1-4505-abac-182fbe30d6a8,,,Other cancer types,Other cancer types,ប្រភេទជំងឺមហារីកផ្សេងទៀត,ប្រភេទជំងឺមហារីកផ្សេងទៀត,,,Misc,Text,,,,,,
b34b1def-2222-4877-ba0c-3fd545d0712a,,,History of Sexually Transmitted Infection Set,History of Sexually Transmitted Infection,សំណុំប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,សំណុំប្រវត្តិទាក់ទងនឹងជំងឺកាមរោគ,,,ConvSet,N/A,,,History of STI(s);Sexually transmitted infection(s);Other sexually transmitted infection(s),,,
f6da3f1d-2b98-40a3-af57-7e30ce44ed90,,,Currently contracted with STI(s),Currently contracted with STI(s),បានឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,បានឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,,,Misc,Coded,Yes;No,,,,,
b45841bf-d344-493b-982c-b695818736ac,,,Currently contracted with Sexually Transmitted Infection Set,History of Sexually Transmitted Infection,សំណុំប្រវត្តិទាក់ទងនឹងការឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,សំណុំប្រវត្តិទាក់ទងនឹងការឆ្លងជំងឺកាមរោគក្នុងពេលថ្មីៗនេះ,,,ConvSet,N/A,,,Currently contracted with STI(s);Sexually transmitted infection(s);Other sexually transmitted infection(s),,,
b6e093cc-08bd-4e8d-ba8c-630ccd70e5aa,,,Not on ART,Not on ART,មិនទាន់ប្រើថ្នាំប្រឆាំងមេរោគ (ART),មិនទាន់ប្រើថ្នាំប្រឆាំងមេរោគ (ART),,,Misc,N/A,,,,,,
4d94a822-b09b-459f-9f60-57e62ac467d7,,,Stopped using ART,Stopped using ART,បានឈប់ប្រើថ្នាំប្រឆាំងមេរោគហើយ,បានឈប់ប្រើថ្នាំប្រឆាំងមេរោគហើយ,,,Misc,N/A,,,,,,
dec6bdc3-dc24-42f3-bb22-f7b1b8502ad4,,,Irregulary taking ART,Irregulary taking ART,ប្រើថ្នាំប្រឆាំងមេរោគមិនបានទៀងទាត់,ប្រើថ្នាំប្រឆាំងមេរោគមិនបានទៀងទាត់,,,Misc,N/A,,,,,,
b5b5da0e-2958-4333-bbdc-26b47848323a,,,Takes ART regulary,Takes ART regulary,ប្រើថ្នាំប្រឆាំងមេរោគបានទៀងទាត់ល្អ,ប្រើថ្នាំប្រឆាំងមេរោគបានទៀងទាត់ល្អ,,,Misc,N/A,,,,,,
42235bf6-dac7-4d7d-b2a0-c8a33a7fb547,,,Do you have HIV/AIDS?,Do you have HIV/AIDS?,តើអ្នកមានផ្ទុកមេរោគអេដស៍/ជំងឺអេដស៍ដែរឬទេ?,តើអ្នកមានផ្ទុកមេរោគអេដស៍/ជំងឺអេដស៍ដែរឬទេ?,,,Misc,Coded,Yes;No,,,,,
ee809067-15e7-4c5e-9cbd-3629b034850d,,,HIV/AIDS treatment,HIV/AIDS treatment,ការព្យាបាលមេរោគអេដស៍/ជំងឺអេដស៍,ការព្យាបាលមេរោគអេដស៍/ជំងឺអេដស៍,,,Misc,Coded,Not on ART;Stopped using ART;Irregulary taking ART;Takes ART regulary,,,,,
9673f964-3ccf-43b7-a740-7e8689c21b90,,,Breast cancer,Breast cancer,ជំងឺមហារីកដោះ,ជំងឺមហារីកដោះ,,,Misc,N/A,,,,,,
69c29886-eb92-44f9-bcef-1ec5a12ae3eb,,,Cervical cancer,Cervical cancer,ជំងឺមហារីកមាត់ស្បូន,ជំងឺមហារីកមាត់ស្បូន,,,Misc,N/A,,,,,,
02f49e6b-7a35-44f4-9726-ac44affbbafd,,,Lung cancer,Lung cancer,ជំងឺមហារីកសួត,ជំងឺមហារីកសួត,,,Misc,N/A,,,,,,
7ba23507-eca8-424b-b870-21eacd678454,,,Liver cancer,Liver cancer,ជំងឺមហារីកថ្លើម,ជំងឺមហារីកថ្លើម,,,Misc,N/A,,,,,,
026e7cdb-2609-480e-ae8f-c21ca092e79a,,,Family history of cancer,Family history of cancer,ប្រវត្តិគ្រួសារទាក់ទងនឹងជំងឺមហារីក,ប្រវត្តិគ្រួសារទាក់ទងនឹងជំងឺមហារីក,,,Misc,Coded,Yes;No,,,,,
541b8a94-ff7a-474c-b5b0-8c2a2135c684,,,Type of cancer,Type of cancer,ប្រភេទនៃជំងឺមហារីក,ប្រភេទនៃជំងឺមហារីក,,,Misc,Coded,Breast cancer;Cervical cancer;Lung cancer;Liver cancer;Other;Unknown,,,,,
4066c646-40c3-48ac-99fa-91a2f5f57e3c,,,Cervical cancer health education,Cervical cancer health education,ការអប់រំសុខភាពអំពីជំងឺមហារីកមាត់ស្បូន,ការអប់រំសុខភាពអំពីជំងឺមហារីកមាត់ស្បូន,,,Misc,Coded,Yes;No,,,,,
2288d1ba-24c3-4434-85c2-29f14e45bc83,,,Cervix,Cervix,មាត់ស្បូន/កស្បូន,មាត់ស្បូន/កស្បូន,,,Misc,N/A,,,,,,
eaf38fc1-ece9-404a-8de3-ea1a3d2ece4d,,,Uterus,Uterus,តួស្បូន,តួស្បូន,,,Misc,N/A,,,,,,
e99f42d4-2175-4060-8a95-60e1ce3b49b3,,,Fallopian tube,Fallopian tube,ដៃស្បូន,ដៃស្បូន,,,Misc,N/A,,,,,,
7fe6a1ea-5fc0-4f05-a6c3-6e72c0dc15ab,,,Vulva,Vulva,យោនី,យោនី,,,Misc,N/A,,,,,,
eeccfed1-c059-460c-8dc0-713b75436293,,,Rectum,Rectum,ចុងពោះវៀនធំ,ចុងពោះវៀនធំ,,,Misc,N/A,,,,,,
b643325d-0d63-4ba0-9c0d-e1c0a1c9f3ce,,,Human papilloma virus test,Human papilloma virus test,តេស្តសម្រាប់រកមេរោគបង្កជំងឺមហារីកមាត់ស្បូន (HPV),តេស្តសម្រាប់រកមេរោគបង្កជំងឺមហារីកមាត់ស្បូន (HPV),,,Misc,Coded,Negative;Positive;Test not done,,,,,
c0027068-fe1b-4401-aad5-d70e4437362c,,,Colposcopy,Colposcopy,ការឆ្លុះពិនិត្យមើលមាត់ស្បូនដោយប្រើឧបករណ៍,ការឆ្លុះពិនិត្យមើលមាត់ស្បូនដោយប្រើឧបករណ៍,,,Misc,Coded,Negative;Positive;Test not done,,,,,
442bb1b3-d064-41a2-86d3-23bc643850f7,,,Non-cancer,Non-cancer,មិនមែនជំងឺមហារីក,មិនមែនជំងឺមហារីក,,,Misc,N/A,,,,,,
f743c638-bbe0-4af8-a746-6be18c0b7c84,,,Cancer,Cancer,ជំងឺមហារីក,ជំងឺមហារីក,,,Misc,N/A,,,,,,
df802805-a937-4031-928d-8ce7b69aefc7,,,Cervical biopsy,Cervical biopsy,ច្រឹបសាច់សម្រាប់ការពិនិត្យកោសិការវិទ្យា (Biospy),ច្រឹបសាច់សម្រាប់ការពិនិត្យកោសិការវិទ្យា (Biospy),,,Misc,Coded,Non-cancer;Cancer;Test not done,,,,,
863d4bf3-310d-472a-990d-8467e543ebab,,,Pap smear,Pap smear,ការយកសំណាកមាត់ស្បូនដើម្បីពិនិត្យ (រកជំងឺមហារីក),ការយកសំណាកមាត់ស្បូនដើម្បីពិនិត្យ (រកជំងឺមហារីក),,,Misc,Coded,Negative;Positive;Test not done,,,,,
87e3207d-50fd-470d-a54a-7b003f02e3d9,,,LSIL ( CIN 1),LSIL ( CIN 1),ការខូចខាតកម្រិតតិចតួចនៃស្រទាប់ជាលិកាក្នុងមាត់ស្បូន (កម្រិតទី១),ការខូចខាតកម្រិតតិចតួចនៃស្រទាប់ជាលិកាក្នុងមាត់ស្បូន (កម្រិតទី១),,,Misc,N/A,,,,,,
cddf5a49-1a8d-4a7f-8426-d5cd951dea47,,,HSIL ( CIN 2& 3),HSIL ( CIN 2& 3),ការខូចខាតកម្រិតខ្ពស់នៃស្រទាប់ជាលិកាក្នុងមាត់ស្បូន (កម្រិតទី២ និងទី៣),ការខូចខាតកម្រិតខ្ពស់នៃស្រទាប់ជាលិកាក្នុងមាត់ស្បូន (កម្រិតទី២ និងទី៣),,,Misc,N/A,,,,,,
546348a8-e53e-4441-b700-f9faec7ffc88,,,Pap smear positive stage,Pap smear positive stage,ដំណាក់កាលវិជ្ជមាននៃការពិនិត្យសំណាកមាត់ស្បូន (pap smear),ដំណាក់កាលវិជ្ជមាននៃការពិនិត្យសំណាកមាត់ស្បូន (pap smear),,,Misc,Coded,LSIL ( CIN 1);HSIL ( CIN 2& 3),,,,,
3f80b4bd-6370-4ee7-ad4a-cbe07cb7af31,,,VIA test,VIA test,ការធ្វើតេស្ត VIA,ការធ្វើតេស្ត VIA,,,Misc,N/A,,,,,,
1ab9a6cf-4140-444d-980e-682961de33f5,,,Biopsis,Biopsis,ការច្រឹបយកសាច់ទៅពិនិត្យនៅមន្ទីរពិសោធន៍,ការច្រឹបយកសាច់ទៅពិនិត្យនៅមន្ទីរពិសោធន៍,,,Misc,N/A,,,,,,
44b23eee-963f-4a9f-b7fd-8a8e753ffbe4,,,Treatment,Treatment,ការព្យាបាល,ការព្យាបាល,,,Misc,N/A,,,,,,
d534da3e-7b59-40ca-a415-d2f5eb94f4a3,,,Thermo-ablation device,Thermo-ablation device,ឧបករណ៍វះកាត់ដោយប្រើកម្តៅ,ឧបករណ៍វះកាត់ដោយប្រើកម្តៅ,,,Misc,N/A,,,,,,
250edbb0-f7bc-4f69-84c2-1a74e75ae73b,,,LEEP,LEEP,ទម្រង់ការវះកាត់ដោយការជាសាច់ជុំវិញមាត់ស្បូន,ទម្រង់ការវះកាត់ដោយការជាសាច់ជុំវិញមាត់ស្បូន,,,Misc,N/A,,,,,,
132fffbd-7261-4b71-a34d-20508544c56b,,,Surgery,Surgery,ការវះកាត់ (សល្យសាស្រ្ត),ការវះកាត់ (សល្យសាស្រ្ត),,,Misc,N/A,,,,,,
e7b6313b-9cf9-4783-9ba6-719a2e7c8aab,,,Chemotherapy,Chemotherapy,ការព្យាបាលដោយប្រើថ្នាំ,ការព្យាបាលដោយប្រើថ្នាំ,,,Misc,N/A,,,,,,
fcfda85e-f415-432f-a548-cc5ef7bcca42,,,Radiotherapy,Radiotherapy,ការព្យាបាលដោយប្រើកាំរស្មី,ការព្យាបាលដោយប្រើកាំរស្មី,,,Misc,N/A,,,,,,
fc11f6e5-5261-4845-bb96-1e95f44f1617,,,Medical treatment,Medical treatment,ការព្យាបាលដោយឳសថ,ការព្យាបាលដោយឳសថ,,,Misc,N/A,,,,,,
c158e3b2-edf9-4e0e-9e95-d36de1a51527,,,Cervical cancer reason for referral,Cervical cancer reason for referral,ហេតុផលនៃមហារីកមាត់ស្បូនសម្រាប់ការបញ្ជូន,ហេតុផលនៃមហារីកមាត់ស្បូនសម្រាប់ការបញ្ជូន,,,Misc,Coded,fc3909e3-9ddb-46e3-b4f7-6905732d977b;7d469a03-a56b-4c51-a421-0e5787556630;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,
12f61ec2-e0b1-420d-be7b-43a95bce6e4a,,,Cervical cancer reason for referral (Non-coded),Cervical cancer reason for referral (Non-coded),ហេតុផលនៃមហារីកមាត់ស្បូនសម្រាប់ការបញ្ជូន (មិនមានដាក់លេខកូដ),ហេតុផលនៃមហារីកមាត់ស្បូនសម្រាប់ការបញ្ជូន (មិនមានដាក់លេខកូដ),,,Misc,Text,,,,,,
1ca7d712-f7d7-4e09-8184-048bc4173902,,,Cervical cancer treatment options,Cervical cancer treatment options,ជម្រើសក្នុងការព្យាបាលជំងឺមហារីកមាត់ស្បូន,ជម្រើសក្នុងការព្យាបាលជំងឺមហារីកមាត់ស្បូន,,,Misc,Coded,Thermo-ablation device;LEEP;Surgery;Chemotherapy;Radiotherapy;Other,,,,,
e6d18ff5-9d52-4e47-b2b2-762d9aa30604,,,Cervical cancer treatment options (Non-coded),Cervical cancer treatment options (Non-coded),ជម្រើសក្នុងការព្យាបាលជំងឺមហារីកមាត់ស្បូន (មិនមានលេខកូដ),ជម្រើសក្នុងការព្យាបាលជំងឺមហារីកមាត់ស្បូន (មិនមានលេខកូដ),,,Misc,Text,,,,,,
aaf920a1-08a2-49ac-ad72-a876a040ce41,,,4 weeks,4 weeks,៤​ សប្តាហ៍,៤​ សប្តាហ៍,,,Misc,N/A,,,,,,
c2127bca-35e4-4986-8774-4145456f62a7,,,6 weeks,6 weeks,៦​ សប្តាហ៍,៦​ សប្តាហ៍,,,Misc,N/A,,,,,,
99f47ce5-a000-4c6b-9066-a14133f7f603,,,1 year,1 year,១ឆ្នាំ,១ឆ្នាំ,,,Misc,N/A,,,,,,
f3f1ecb7-f4cd-4f80-8691-50626b5bcca3,,,3 years,3 years,៣ ឆ្នាំ,៣ ឆ្នាំ,,,Misc,N/A,,,,,,
