Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1000,
111772AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O30.0,Twin Pregnancy (O30.0),"Grossesse multiple, jumeaux (O30.0)",Twin Pregnancy,"Grossesse multiple, jumeaux",,,Diagnosis,N/A,,,,,
11180d8f-1628-4ea7-9fcc-ea80726d3829,,ICD-10:I42.0,Dilated cardiomyopathy (I42.0),Myocardiopathie avec dilatation (I42.0),Dilated cardiomyopathy,Myocardiopathie avec dilatation,,,Diagnosis,N/A,,,,,
111939AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A18.4,Tuberculosis of skin and subcutaneous tissue (A18.4),Tuberculose de la peau et du tissu cellulaire sous-cutane (A18.4),Tuberculosis of skin and subcutaneous tissue,Tuberculose de la peau et du tissu cellulaire sous-cutane,,,Diagnosis,N/A,,,,,
111967AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A17.0,Tuberculous Meningitis (A17.0),Meningite tuberculeuse (A17.0),Tuberculous Meningitis,Meningite tuberculeuse,,,Diagnosis,N/A,,,,,
112030AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A18.3,Tuberculosis of the peritonium (A18.3),Tuberculose du peritoine (A18.3),Tuberculosis of the peritonium,Tuberculose du peritoine,,,Diagnosis,N/A,,,,,
112094AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A17.9,Tuberculosis Of Central Nervous System (A17.9),Tuberculose du systeme nerveux (A17.9),Tuberculosis Of Central Nervous System,Tuberculose du systeme nerveux,,,Diagnosis,N/A,,,,,
112115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A18.0,Tuberculosis of bones and joints (A18.0),Tuberculose des os et des articulations (A18.0),Tuberculosis of bones and joints,Tuberculose des os et des articulations,,,Diagnosis,N/A,,,,,
112163AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A30.1,Tuberculoid Leprosy (Type T) (A30.1),Lepre tuberculoide (A30.1),Tuberculoid Leprosy (Type T),Lepre tuberculoide,,,Diagnosis,N/A,,,,,
112188AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O30.1,Triplet Pregnancy (O30.1),"Grossesse multiple, triples (O30.1)",Triplet Pregnancy,"Grossesse multiple, triples",,,Diagnosis,N/A,,,,,
112245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:S68.1,Traumatic Amputation of Finger(s) (S68.1),Amputation traumatique d'un (des) doigt(s) (S68.1),Traumatic Amputation of Finger(s),Amputation traumatique d'un (des) doigt(s),,,Diagnosis,N/A,,,,,
112250AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:T11.6,Amputation of arm (T11.6),Amputation traumatique du membre superieur (T11.6),Amputation of arm,Amputation traumatique du membre superieur,,,Diagnosis,N/A,,,,,
112264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:P22.1,Transitory tachypnea of newborn (P22.1),Tachypnee transitoire du nouveau-ne (P22.1),Transitory tachypnea of newborn,Tachypnee transitoire du nouveau-ne,,,Diagnosis,N/A,,,,,
112276AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:G45.9,Transient Cerebral Ischemia (G45.9),Ischemie cerebrale transitoire (G45.9),Transient Cerebral Ischemia,Ischemie cerebrale transitoire,,,Diagnosis,N/A,,,,,
3cceae50-26fe-102b-80cb-0017a47871b2,,ICD-10:A53.9,Syphilis,ស្វាយ (Syphilis),Syphilis,ស្វាយ,,,Diagnosis,N/A,,,,,
3cd4eca2-26fe-102b-80cb-0017a47871b2,,ICD-10:A54.9,Gonorrhea,ប្រមេះទឹកបាយ (Gonorrhea),Gonorrhea,ប្រមេះទឹកបាយ,,,Diagnosis,N/A,,,,,
60aedd3f-73af-4730-9370-2d95ae1f8d89,,,Chlamydia,ប្រមេះទឹកថ្លា (Chlamydia),Chlamydia,ប្រមេះទឹកថ្លា,,,Diagnosis,N/A,,,,,
69b7dc75-10e6-45a4-bfaf-59894494ad44,,,Genital herpes,ពងទឹក/ពងបែកលើប្រដាប់បន្តពូជ (Genital herpes),Genital herpes,ពងទឹក/ពងបែកលើប្រដាប់បន្តពូជ,,,Diagnosis,N/A,,,,,
bc755971-834f-4db0-97c6-92c94e0156e9,,,Genital warts,សិរមាន (Genital warts),Genital warts,សិរមាន,,,Diagnosis,N/A,,,,,
cbde94b4-214a-4c25-a8e3-c39f787064f8,,ICD-10:A59.9,Trichomoniasis,ទ្រីកូម៉ូណាល់ (Trichomoniasis),Trichomoniasis,ទ្រីកូម៉ូណាល់,,,Diagnosis,N/A,,,,,
0da87934-b12f-4f68-8160-9e0d4f3dd33b,,,Other STIs,ជ្សេងៗទៀត (Other STIs),Other STIs,ជ្សេងៗទៀត (Other STIs),,,Misc,N/A,,,,,,
229a30d0-2c57-4e57-be1f-2e93198a4882,,,Don't know STIs,មិនដឹង (Don’t know STIs),Don't know STIs,មិនដឹង (Don’t know STIs),,,Misc,N/A,,,,,,
3cd80b44-26fe-102b-80cb-0017a47871b2,,ICD-10:B97.7,Human papillomavirus,មេរោគ HPV (Human papillomavirus),Human papillomavirus,មេរោគ HPV,,,Diagnosis,N/A,,,,,
3cd50188-26fe-102b-80cb-0017a47871b2,,ICD-10:I10,Hypertension (I10),ជំងឺលើសឈាម,Hypertension (I10),ជំងឺលើសឈាម,,,Diagnosis,N/A,,,,,
