Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1350
1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Normal,ធម្មតា,Normal,ធម្មតា,,,Misc,N/A,,,,
1116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Abnormal,មិនធម្មតា,Abnormal,មិនធម្មតា,,,Misc,N/A,,,,
a4b1eaee-1b17-4dbd-8d9a-3126446e3933,,,Initial,ការមកពិនិត្យដំបូង,Initial,ការមកពិនិត្យដំបូង,,,Misc,N/A,,,,
081b0c96-e01c-468d-af65-ef875658c560,,,Follow-up,តាមដាន,Follow-up,តាមដាន,,,Misc,N/A,,,,
aff366ff-5477-4e45-a795-f79fb2db5c9d,,,Visit Sequence,ប្រភេទជំងឺមកពិនិត្យ,Visit Sequence,ប្រភេទជំងឺមកពិនិត្យ,,,Question,Coded,Initial;Follow-up,,,
2ff502f3-601b-43a9-a5f9-563d216f61d0,,,Full Pay,បង់ពេញថ្លៃ,Full Pay,បង់ពេញថ្លៃ,,,Misc,N/A,,,,
1d2e1ffe-32dc-447e-a326-a2632656645a,,,Discount,បង់បញ្ចុះថ្លៃ,Discount,បង់បញ្ចុះថ្លៃ,,,Misc,N/A,,,,
c54ef47a-cbea-45e9-82c1-0ae0bcbcdaf9,,,Exemption,លើកលែងថ្លៃ,Exemption,លើកលែងថ្លៃ,,,Misc,N/A,,,,
3c2d3d22-afc1-48cf-a46f-0267182aa5e7,,,HEF_Poor,មូលនិធិសមធម៌ក្រីក្រ,HEF_Poor,មូលនិធិសមធម៌ក្រីក្រ,,,Misc,N/A,,,,
7c950460-1a59-47e5-a5ac-a82f3932e962,,,HEF_Informal,មូលនិធិសមធម៌ក្រៅប្រព័ន្ធ,HEF_Informal,មូលនិធិសមធម៌ក្រៅប្រព័ន្ធ,,,Misc,N/A,,,,
6c811e05-e914-4a59-94a0-3c551f9c331f,,,NSSF,បេឡាជាតិសន្តិសុខសង្គម,NSSF,បេឡាជាតិសន្តិសុខសង្គម,,,Misc,N/A,,,,
8e807373-be15-4580-9a1c-0d681e04a2ed,,,Insurance Type,ប្រភេទធានារ៉ាប់រង,Insurance Type,ប្រភេទធានារ៉ាប់រង,,,Misc,Coded,Full Pay;Discount;Exemption;HEF_Poor;HEF_Informal;NSSF;Other,,,
1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,None,គ្មាន,None,គ្មាន,,,Misc,N/A,,,,
703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Positive,វិជ្ជមាន,Positive,វិជ្ជមាន,,,Finding,N/A,,,,
664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Negative,អវិជ្ជមាន,Negative,អវិជ្ជមាន,,,Finding,N/A,,,,
dee2db0c-5a06-4b1e-8be6-0f327fe6158d,,,Reason for referral,មូលហេតុនៃការបញ្ជូន,Reason for referral,មូលហេតុនៃការបញ្ជូន,,,Misc,Text,,,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Unknown,មិនដឹង,Unknown,មិនដឹង,,,Misc,N/A,,,,
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Yes,"បាទ/ចាស ",Yes,"បាទ/ចាស ",,,Misc,N/A,,,,
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,No,ទេ,No,ទេ,,,Misc,N/A,,,,
5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Other,ផ្សេងទៀត,Other,ផ្សេងទៀត,,,Misc,Text,,,,
80fc2e59-8c16-40db-9767-ac9d9ffeb010,,,Tele-consultation with NCD unit:,ពិគ្រោះតាមប្រព័ន្ធអេឡិចត្រូនិចជាមួយអ្នកជំនាញនៅគ្លីនិកជំងឺមិនឆ្លង,Tele-consultation with NCD unit:,ពិគ្រោះតាមប្រព័ន្ធអេឡិចត្រូនិចជាមួយអ្នកជំនាញនៅគ្លីនិកជំងឺមិនឆ្លង,,,Question,Coded,Yes;No,,,
f094cac6-2322-4b29-8ed4-25bab0cd68b1,,,Doctor/Medical assistant,វេជ្ជបណ្ឌិត/គ្រូពេទ្យមធ្យម,Doctor/Medical assistant,វេជ្ជបណ្ឌិត/គ្រូពេទ្យមធ្យម,,,Misc,N/A,,,,
2b9aeab5-694b-481c-9f18-81a5dc3bf4c5,,,Nurse,គិលានុបដ្ឋាក,Nurse,គិលានុបដ្ឋាក,,,Misc,N/A,,,,
ec54ae7c-1007-4fc9-a62b-ee5914056468,,,Midwife,ឆ្មប,Midwife,ឆ្មប,,,Misc,N/A,,,,
3786ab5c-1d22-4ac6-b8fc-4c7b5a97b754,,,Consultation by:,ពិគ្រោះជំងឺដោយ ៖,Consultation by:,ពិគ្រោះជំងឺដោយ ៖,,,Question,Coded,Doctor/Medical assistant;Nurse;Midwife,,,
899fcd17-e35d-4095-9dfd-3b8f2be4d696,,,Zone A,តំបន់ ក,Zone A,តំបន់ ក,,,Misc,N/A,,,,
3b592418-9f6a-4526-83c4-1b0e243938fe,,,Zone B,តំំបន់ ខ,Zone B,តំំបន់ ខ,,,Misc,N/A,,,,
43e92bd2-5958-440d-b5f2-9e2b2b48871b,,,Zone C,តំបន់់ គ,Zone C,តំបន់់ គ,,,Misc,N/A,,,,
c384dbf9-1ce5-4294-ab28-23773810ae1c,,,Address Zone,អាសយដ្ឋានតំបន់,Address Zone,អាសយដ្ឋានតំបន់,,,Question,Coded,Zone A;Zone B;Zone C,,,
2af5ca01-4135-45a2-af05-84b1eeea1293,,,Has a referral letter ?,មានលិខិតបញ្ជូន,Has a referral letter ?,មានលិខិតបញ្ជូន,,,Question,Coded,Yes;No,,,
162394AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Route,,Route,,,,,,,,,
162385AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,In left ear,,In left ear,,,,,,,,,
162386AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,In right ear,,In right ear,,,,,,,,,
162387AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,In both ears,,In both ears,,,,,,,,,
162388AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,In left eye,,In left eye,,,,,,,,,
162389AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,In right eye,,In right eye,,,,,,,,,
162390AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,In both eyes,,In both eyes,,,,,,,,,
162391AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Transdermal,,Transdermal,,,,,,,,,
162392AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Vaginally,,Vaginally,,,,,,,,,
162393AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Rectally,,Rectally,,,,,,,,,
162798AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Per NG tube,,Per NG tube,,,,,,,,,
162824AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Intraosseous,,Intraosseous,,,,,,,,,
160240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Oral,,Oral,,,,,,,,,
160242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Intravenous,,Intravenous,,,,,,,,,
160243AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Intramuscular,,Intramuscular,,,,,,,,,
160245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Subcutaneous,,Subcutaneous,,,,,,,,,
160241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Inhalation,,Inhalation,,,,,,,,,
161253AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Intranasal,,Intranasal,,,,,,,,,
160862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Once daily,,Once daily,,,,,,,,,
160858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Twice daily,,Twice daily,,,,,,,,,
160866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Thrice daily,,Thrice daily,,,,,,,,,
162244AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Every hour,,Every hour,,,,,,,,,
162245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Every two hours,,Every two hours,,,,,,,,,
162246AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Every three hours,,Every three hours,,,,,,,,,
162247AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Every four hours,,Every four hours,,,,,,,,,
162249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Every six hours,,Every six hours,,,,,,,,,
162251AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Every twelve hours,,Every twelve hours,,,,,,,,,
1732AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Duration unit,,Duration unit,,,,,,,,,
162384AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Dose unit,,Dose unit,,,,,,,,,
1072AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Days,,Days,,,,,,,,,
162583AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Seconds,,Seconds,,,,,,,,,
1733AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Minutes,,Minutes,,,,,,,,,
1822AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Hours,,Hours,,,,,,,,,
1073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Weeks,,Weeks,,,,,,,,,
1074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Months,,Months,,,,,,,,,
1734AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Years,,Years,,,,,,,,,
162582AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Number of occurrences,,Number of occurrences,,,,,,,,,
1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Tablet,,Tablet,,,,,,,,,
162395AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Bag,,Bag,,,,,,,,,
162396AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Box,,Box,,,,,,,,,
162397AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Cartridge,,Cartridge,,,,,,,,,
162398AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Dose pack,,Dose pack,,,,,,,,,
162399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Each,,Each,,,,,,,,,
162400AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Inhaler,,Inhaler,,,,,,,,,
162401AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Kit,,Kit,,,,,,,,,
1514AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Packets,,Packets,,,,,,,,,
162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Ampule(s),,Ampule(s),,,,,,,,,
162376AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Application,,Application,,,,,,,,,
162351AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Bar,,Bar,,,,,,,,,
162383AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Biscuit wafer,,Biscuit wafer,,,,,,,,,
162354AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Can,,Can,,,,,,,,,
1608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Capsule,,Capsule,,,,,,,,,
162355AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Container,,Container,,,,,,,,,
162356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Drop,,Drop,,,,,,,,,
162357AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Enema,,Enema,,,,,,,,,
162358AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Fluid ounce,,Fluid ounce,,,,,,,,,
162359AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Gallon,,Gallon,,,,,,,,,
161554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Gram,,Gram,,,,,,,,,
162360AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Gum,,Gum,,,,,,,,,
162361AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Inch,,Inch,,,,,,,,,
162264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,International units,,International units,,,,,,,,,
162362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Kilogram,,Kilogram,,,,,,,,,
162262AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Liter,,Liter,,,,,,,,,
162363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Lozenge,,Lozenge,,,,,,,,,
162364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Milliequivalent,,Milliequivalent,,,,,,,,,
162365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Metric drop,,Metric drop,,,,,,,,,
162366AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Microgram,,Microgram,,,,,,,,,
161553AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Milligram,,Milligram,,,,,,,,,
165171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Milligram per meter squared,,Milligram per meter squared,,,,,,,,,
162263AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Milliliter,,Milliliter,,,,,,,,,
162367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Million units,,Million units,,,,,,,,,
162368AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Nebulizer,,Nebulizer,,,,,,,,,
162369AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Pad,,Pad,,,,,,,,,
162370AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Patch,,Patch,,,,,,,,,
162371AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Pint,,Pint,,,,,,,,,
162372AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Puff,,Puff,,,,,,,,,
162373AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Ring pessary,,Ring pessary,,,,,,,,,
162374AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Scoopful,,Scoopful,,,,,,,,,
162375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Spray,,Spray,,,,,,,,,
1518AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Suppository,,Suppository,,,,,,,,,
162377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Syringe,,Syringe,,,,,,,,,
162378AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Tablespoon,,Tablespoon,,,,,,,,,
162379AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Teaspoon,,Teaspoon,,,,,,,,,
162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Tube,,Tube,,,,,,,,,
162381AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Unit,,Unit,,,,,,,,,
162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Vial,,Vial,,,,,,,,,
